,mean,std,50%,Cluster,Count
SEXO,0.4618015963511973,0.4986809223018701,0.0,0,1754
EDAD,0.3511951828865834,1.1563192518824787,0.4162787377429912,0,1754
NIVEL_EDUCATIVO,5.498289623717218,1.1305272078782895,6.0,0,1754
TUVO_TRABAJO,0.4618015963511973,0.4986809223018701,0.0,0,1754
BUSCA_OTRO_TRABAJO,0.05237515225334957,0.22291819688797898,0.0,0,1754
TAMANO_EMPRESA,2.4196217494089836,1.6054766767897168,2.0,0,1754
QUIERE_MAS_HORAS,0.23522458628841608,0.42439000056343334,0.0,0,1754
INGRESO_PRINCIPAL,-0.172381293822566,0.4563029199008677,-0.2399613774071377,0,1754
SEGURO_SALUD,1.001140250855188,0.2905604862623356,1.0,0,1754
DIAS_AUSENTE,0.0,0.0,0.0,0,1754
DISCAPACIDAD,0.05473204104903079,0.2275213348687881,0.0,0,1754
Cluster,0.0,0.0,0.0,0,1754
SEXO,0.4478908188585608,0.4973389281182066,0.0,1,4030
EDAD,-0.07808224857071304,1.0108098264479062,-0.1403356715653118,1,4030
NIVEL_EDUCATIVO,5.2,1.1729134608304104,6.0,1,4030
TUVO_TRABAJO,0.5183622828784119,0.49972471723677375,1.0,1,4030
BUSCA_OTRO_TRABAJO,0.08796520057999033,0.28331275776259235,0.0,1,4030
TAMANO_EMPRESA,1.1597633136094674,0.704824345091098,1.0,1,4030
QUIERE_MAS_HORAS,0.2872098315885298,0.45256333084761297,0.0,1,4030
INGRESO_PRINCIPAL,-0.3325330840101054,0.4505333073809278,-0.4088889971444474,1,4030
SEGURO_SALUD,5.049131513647643,0.39173388690266464,5.0,1,4030
DIAS_AUSENTE,0.0,0.0,0.0,1,4030
DISCAPACIDAD,0.03176178660049628,0.17538702465620254,0.0,1,4030
Cluster,1.0,0.0,1.0,1,4030
SEXO,0.507226738934056,0.5000607157790506,1.0,2,2214
EDAD,0.14489664461139926,0.8734941968889696,0.0620695681831619,2,2214
NIVEL_EDUCATIVO,10.158988256549232,1.1304510721889054,10.0,2,2214
TUVO_TRABAJO,0.7547425474254743,0.4303369371355274,1.0,2,2214
BUSCA_OTRO_TRABAJO,0.03565166569257744,0.1854743379938082,0.0,2,2214
TAMANO_EMPRESA,3.2248692620569437,1.6933480657712228,4.0,2,2214
QUIERE_MAS_HORAS,0.19930273097036608,0.399592207303754,0.0,2,2214
INGRESO_PRINCIPAL,0.6086200442343516,1.4896895413831421,0.2426313691932433,2,2214
SEGURO_SALUD,1.2299006323396566,0.8347352330145953,1.0,2,2214
DIAS_AUSENTE,0.0,0.0,0.0,2,2214
DISCAPACIDAD,0.017615176151761516,0.13157773888169247,0.0,2,2214
Cluster,2.0,0.0,2.0,2,2214
SEXO,0.44801306477953184,0.4974254236735395,0.0,3,1837
EDAD,-0.338664159070621,0.8043830650394355,-0.5957474609993779,3,1837
NIVEL_EDUCATIVO,9.512792596624932,1.0803627885533147,10.0,3,1837
TUVO_TRABAJO,0.5443658138268916,0.49816339495003226,1.0,3,1837
BUSCA_OTRO_TRABAJO,0.10542168674698796,0.3072502832780443,0.0,3,1837
TAMANO_EMPRESA,1.3847619047619049,1.0715829325759954,1.0,3,1837
QUIERE_MAS_HORAS,0.29523809523809524,0.45636708427672534,0.0,3,1837
INGRESO_PRINCIPAL,-0.21309145134782828,0.5287405054800368,-0.3282552884392876,3,1837
SEGURO_SALUD,5.021774632553075,0.559688393063496,5.0,3,1837
DIAS_AUSENTE,0.0,0.0,0.0,3,1837
DISCAPACIDAD,0.010342950462710943,0.10120053847478441,0.0,3,1837
Cluster,3.0,0.0,3.0,3,1837
