C207,C208,C366,C377,C303,C310,C335,OCUP300,C312,C317,C333,C313,C338,ingtrabw,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,SEGURO1,C205,Cluster
2,24,10,7,2,,,4,,,,,,,2,2,2,2,2,2,5,2.0,1
1,78,11,1,2,,,4,,,,,,,2,2,2,2,2,2,1,2.0,1
1,21,8,7,1,3.0,2.0,1,2.0,3.0,2.0,2.0,1.0,1800.0,2,2,2,2,2,2,5,2.0,0
2,22,10,7,2,,,4,,,,,,,2,2,2,2,2,2,5,2.0,1
1,43,6,7,1,3.0,2.0,1,1.0,2.0,2.0,,1.0,4500.0,2,2,2,2,2,2,6,2.0,0
1,21,10,7,1,3.0,2.0,1,2.0,1.0,2.0,2.0,2.0,433.0,2,2,2,2,2,2,5,2.0,0
1,71,6,7,2,,,4,,,,,,,2,2,2,2,2,2,4,2.0,1
1,28,6,6,1,3.0,2.0,1,2.0,1.0,2.0,1.0,2.0,1489.0,2,2,2,2,2,2,5,2.0,0
1,88,9,1,2,,,4,,,,,,,2,2,2,2,2,2,1,2.0,1
1,19,9,7,2,,,4,,,,,,,2,2,2,2,2,2,1,2.0,1
1,37,8,7,1,3.0,2.0,1,2.0,1.0,2.0,2.0,2.0,1732.0,2,2,2,2,2,2,5,2.0,0
2,43,11,7,2,,,4,,,,,,,2,2,2,2,2,2,3,2.0,1
2,49,11,7,1,1.0,2.0,1,1.0,1.0,2.0,,,15000.0,2,2,2,2,2,2,1,2.0,0
1,15,5,7,2,,,4,,,,,,,2,2,2,2,2,2,1,2.0,1
1,65,6,7,2,,,3,,,,,,,2,2,2,2,2,2,1,2.0,1
1,22,10,7,2,4.0,,2,3.0,1.0,2.0,2.0,,,2,2,2,2,2,2,6,2.0,2
1,75,3,1,2,,,4,,,,,,,1,1,2,2,2,2,1,2.0,1
2,25,8,7,1,2.0,2.0,1,3.0,1.0,2.0,2.0,,630.0,2,2,2,2,2,2,5,2.0,0
1,35,6,7,1,3.0,2.0,1,1.0,2.0,1.0,,2.0,195.0,2,2,2,2,2,2,5,2.0,0
1,27,9,1,1,3.0,2.0,1,1.0,4.0,1.0,,4.0,1969.0,2,2,2,2,2,2,1,2.0,0
1,85,4,7,2,,,4,,,,,,,2,2,2,2,2,2,1,2.0,1
2,64,4,1,2,,,4,,,,,,,2,2,2,2,2,2,6,2.0,1
2,42,6,7,2,,,4,,,,,,,2,2,2,2,2,2,1,2.0,1
1,53,6,7,1,3.0,2.0,1,1.0,4.0,2.0,,4.0,2159.0,2,2,2,2,2,2,1,2.0,0
2,51,6,7,2,,,4,,,,,,,2,2,2,2,2,2,5,2.0,1
